timestamp_us,steer_us,throttle_us,speed_mps
342015632,1500,1500,0.0000
343015668,1500,1500,0.0000
343295704,1550,1096,0.0018
343315357,1550,1096,6.9270
343330180,1550,1096,9.1841
343343339,1550,1096,10.3454
343354787,1550,1096,11.8917
343365750,1550,1096,12.4177
343375568,1550,1096,13.8659
343385204,1550,1096,14.1278
343394016,1550,1096,15.4489
343402745,1550,1096,15.5958
343410907,1550,1096,16.6792
343419106,1550,1096,16.6039
343426703,1550,1096,17.9197
343434424,1542,1121,17.6319
343441626,1542,1121,18.9025
343448961,1542,1121,18.5597
343455881,1542,1121,19.6728
343462957,1542,1121,19.2391
343469567,1542,1121,20.5954
343476343,1542,1121,20.0909
343482742,1542,1121,21.2745
343489324,1500,1121,20.6830
343495559,1500,1121,21.8341
343501954,1500,1121,21.2878
343508041,1500,1121,22.3650
343514313,1500,1121,21.7053
343520193,1500,1121,23.1523
343526270,1500,1121,22.4018
343530006,1500,1121,36.4389
343532083,1500,1121,65.5444
343538096,1500,1121,22.6402
343543785,1500,1121,23.9296
343549641,1500,1121,23.2472
343555225,1500,1121,24.3796
343561012,1500,1121,23.5244
343566521,1500,1121,24.7115
343572210,1500,1121,23.9296
343577607,1500,1121,25.2243
343583224,1500,1121,24.2364
343588545,1500,1121,25.5846
343594073,1500,1500,24.6266
343599346,1500,1500,25.8175
343604832,1500,1500,24.8151
343610027,1500,1500,26.2051
343615525,1500,1500,24.7609
343620883,1500,1500,25.4079
343626575,1500,1500,23.9170
343632043,1500,1500,24.8968
343637840,1500,1500,23.4838
343643323,1500,1500,24.8287
343649163,1500,1500,23.3109
343654915,1500,1500,23.6675
343660957,1500,1500,22.5316
343666697,1500,1500,23.7170
343672818,1500,1500,22.2408
343678679,1500,1500,23.2274
343684985,1500,1500,21.5883
343691122,1500,1500,22.1828
343697528,1500,1500,21.2513
343703732,1500,1500,21.9432
343710320,1500,1500,20.6642
343716765,1500,1500,21.1227
343723522,1500,1500,20.1474
343729988,1500,1500,21.0541
343736917,1500,1500,19.6472
343743702,1500,1500,20.0642
343750902,1500,1500,18.9077
343757742,1500,1500,19.9029
343765053,1500,1500,18.6207
343772216,1500,1500,19.0054
343779803,1500,1500,17.9433
343787113,1500,1500,18.6232
343794874,1500,1500,17.5410
343802359,1500,1500,18.1878
343810377,1500,1500,16.9788
343818264,1500,1500,17.2608
343826538,1500,1500,16.4534
343834659,1500,1500,16.7634
343843175,1500,1500,15.9859
343851448,1500,1500,16.4554
343860247,1500,1500,15.4717
343869041,1500,1500,15.4805
343878271,1500,1500,14.7493
343887266,1500,1500,15.1346
343896821,1500,1500,14.2476
343906106,1500,1500,14.6619
343916084,1500,1500,13.6436
343925977,1500,1500,13.7608
343936581,1625,1500,12.8381
343946847,1625,1500,13.2608
343957708,1500,1654,12.5344
343966748,1500,1654,15.0593
343968360,1500,1654,84.4514
343972222,1500,1654,35.2500
343978296,1500,1654,22.4129
343979857,1500,1654,87.2106
343991591,1500,1654,11.6018
344005693,1500,1654,9.6536
344015706,1500,1654,9.6536
344021866,1500,1654,8.4175
344043055,1500,1500,6.4248
344072317,1500,1500,4.6523
344107808,1500,1500,3.8358
344150475,1500,1500,3.1907
344205598,1500,1500,2.4697
344315074,1625,1663,1.2435
344352287,1625,1663,3.6583
344401598,1625,1663,2.7608
344417865,1633,1829,8.3688
344436470,1633,1829,7.3172
344447667,1633,1829,12.1582
344449489,1633,1829,74.7177
344471218,1633,1829,6.2652
344490058,1633,1829,7.2259
344506043,1633,1829,8.5165
344520713,1633,1896,9.2799
344533955,1633,1896,10.2806
344546473,1633,1896,10.8752
344557907,1633,1896,11.9062
344568812,1633,1896,12.4838
344578998,1633,1896,13.3650
344588845,1633,1896,13.8251
344598131,1633,1896,14.6603
344607340,1633,1896,14.7829
344616051,1633,1896,15.6280
344624680,1633,1896,15.7765
344632948,1633,1896,16.4654
344641089,1633,1896,16.7222
344648939,1633,1896,17.3421
344656812,1633,1896,17.2915
344664394,1633,1896,17.9551
344672004,1633,1896,17.8891
344679354,1633,1896,18.5219
344686654,1633,1896,18.6487
344693758,1633,1896,19.1632
344700891,1633,1896,19.0853
344707821,1633,1896,19.6444
344714829,1633,1896,19.4258
344721598,1633,1896,20.1116
344728401,1633,1896,20.0111
344735033,1633,1896,20.5271
344741778,1633,1896,20.1832
