Timestamp_ms,Voltage_mV,Current_mA,Power_mW
17177,210.00,4045.00,3880.00
17278,825.00,4138.75,3250.00
17379,1187.50,3777.50,4480.00
17480,1131.25,3811.25,4710.00
17581,1251.25,3802.50,3200.00
17682,970.00,3803.75,3890.00
17783,471.25,3656.25,1730.00
17884,631.25,4137.50,280.00
17985,55.00,4001.25,740.00
18086,0.00,3976.25,640.00
18187,0.00,4032.50,610.00
18288,0.00,3810.00,510.00
18389,0.00,3727.50,260.00
18490,0.00,3896.25,360.00
18591,0.00,3830.00,270.00
18692,0.00,3905.00,190.00
18793,0.00,4032.50,1000.00
18894,40.00,3962.50,150.00
18995,651.25,3896.25,2530.00
19096,463.75,3967.50,4470.00
19197,975.00,3952.50,4810.00
19298,1213.75,4121.25,4880.00
19399,1110.00,4043.75,4490.00
19500,1208.75,3740.00,2460.00
19601,806.25,3971.25,200.00
19702,233.75,3653.75,910.00
19803,0.00,3851.25,680.00
19904,0.00,3843.75,600.00
20005,0.00,4005.00,500.00
20106,0.00,3795.00,380.00
20207,0.00,3855.00,360.00
20308,0.00,3788.75,360.00
20409,0.00,3971.25,320.00
20510,0.00,4007.50,320.00
20611,0.00,3788.75,190.00
20712,0.00,3911.25,1790.00
20813,222.50,3962.50,3840.00
20914,820.00,3855.00,3200.00
21015,1205.00,3923.75,4720.00
21116,1101.25,3806.25,4650.00
21217,2068.75,2795.00,4380.00
21318,1772.50,3046.25,5220.00
21419,1270.00,3215.00,4080.00
21520,1476.25,3127.50,2390.00
21621,913.75,3472.50,2460.00
21722,675.00,3381.25,2270.00
21823,737.50,3555.00,2620.00
21924,736.25,3416.25,2910.00
22025,816.25,3472.50,3110.00
22126,863.75,3650.00,3150.00
22227,920.00,3442.50,3160.00
22328,891.25,3573.75,3320.00
22429,941.25,3513.75,4080.00
22530,1066.25,3298.75,3550.00
22631,1623.75,3567.50,5800.00
22732,1463.75,3581.25,7420.00
22833,1908.75,3525.00,7600.00
22934,2188.75,3442.50,7690.00
23035,2060.00,3587.50,7390.00
23136,2156.25,3430.00,5500.00
23237,1745.00,3538.75,3530.00
23338,1168.75,3690.00,4190.00
23439,745.00,3661.25,2730.00
23540,838.75,3436.25,2480.00
23641,728.75,3502.50,2840.00
23742,785.00,3597.50,2790.00
23843,881.25,3641.25,3210.00
23944,861.25,3378.75,3230.00
24045,951.25,3645.00,3610.00
24146,953.75,3723.75,3560.00
24247,1021.25,3668.75,3750.00
24348,1008.75,3543.75,4760.00
24449,1113.75,3550.00,6440.00
24550,1693.75,3563.75,6350.00
24651,2087.50,3377.50,7050.00
24752,1981.25,3491.25,7620.00
24853,2200.00,3551.25,6690.00
24954,2027.50,3480.00,7180.00
25055,1536.25,3517.50,5400.00
25156,1692.50,3582.50,3240.00
25257,1120.00,3490.00,2440.00
25358,752.50,3486.25,2620.00
25459,752.50,3558.75,2680.00
25560,715.00,3710.00,3010.00
25661,818.75,3612.50,3110.00
25762,851.25,3533.75,3000.00
25863,908.75,3700.00,3370.00
25964,912.50,3590.00,3400.00
26065,947.50,3556.25,3760.00
26166,963.75,3598.75,3520.00
26267,1362.50,3497.50,4760.00
26368,1172.50,3382.50,6340.00
26469,1736.25,3691.25,7850.00
26570,2090.00,3685.00,7000.00
26671,2171.25,3387.50,7360.00
26772,2162.50,3677.50,6690.00
26873,1982.50,3353.75,4190.00
26974,1506.25,3492.50,5430.00
27075,882.50,3626.25,3200.00
27176,1090.00,3515.00,2650.00
27277,690.00,3445.00,2680.00
27378,768.75,3633.75,2740.00
27479,845.00,3528.75,2980.00
27580,800.00,3621.25,3120.00
27681,888.75,3463.75,3290.00
27782,901.25,3545.00,3330.00
27883,966.25,3451.25,3340.00
27984,943.75,3642.50,3970.00
28085,1006.25,3457.50,5730.00
28186,1450.00,3748.75,5160.00
28287,1937.50,3460.00,6710.00
28388,1828.75,3498.75,7770.00
28489,2140.00,3517.50,7260.00
28590,2115.00,3641.25,7820.00
28691,1715.00,3370.00,5790.00
28792,1942.50,3512.50,4070.00
28893,1358.75,3437.50,2390.00
28994,860.00,3420.00,2980.00
29095,683.75,3620.00,2470.00
29196,713.75,3478.75,2850.00
29297,728.75,3608.75,2970.00
29398,871.25,3548.75,3000.00
29499,898.75,3613.75,3250.00
29600,873.75,3571.25,3300.00
29701,698.75,1753.75,1330.00
29802,773.75,1802.50,1400.00
29903,970.00,2021.25,1960.00
30004,858.75,2171.25,3340.00
30105,1401.25,2252.50,4420.00
30206,1862.50,2330.00,4450.00
30307,2100.00,2413.75,5070.00
30408,2073.75,2618.75,5130.00
30509,2050.00,2728.75,4110.00
30610,1670.00,2705.00,4510.00
30711,1106.25,2591.25,2870.00
30812,1361.25,2770.00,1970.00
30913,832.50,2786.25,2070.00
31014,740.00,2788.75,2160.00
31115,788.75,2867.50,2270.00
31216,776.25,2640.00,2200.00
31317,827.50,2800.00,2560.00
31418,905.00,2862.50,2610.00
31519,912.50,3003.75,2740.00
31620,913.75,2937.50,2880.00
31721,973.75,2907.50,3890.00
31822,1120.00,2961.25,3330.00
31923,1691.25,2936.25,4970.00
32024,1520.00,2746.25,5730.00
32125,1972.50,2916.25,6280.00
32226,2185.00,3047.50,6170.00
32327,2010.00,2791.25,5610.00
32428,2113.75,2901.25,4440.00
32529,1701.25,2790.00,2620.00
32630,1112.50,2880.00,3120.00
32731,753.75,2851.25,2150.00
32832,828.75,2857.50,2190.00
