Timestamp_ms,Voltage_mV,Current_mA,Power_mW
7,0.00,-2.50,0.00
108,0.00,-2.50,0.00
209,0.00,-2.50,0.00
310,71.25,-2.50,0.00
411,558.75,-2.50,0.00
512,437.50,-2.50,0.00
613,771.25,-5.00,0.00
714,793.75,-3.75,0.00
815,525.00,-3.75,0.00
916,631.25,-3.75,0.00
1017,187.50,-2.50,0.00
1118,0.00,-3.75,0.00
1219,0.00,-2.50,0.00
1320,0.00,-2.50,0.00
1421,0.00,-3.75,0.00
1522,0.00,-3.75,0.00
1623,0.00,-3.75,0.00
1724,0.00,-2.50,0.00
1825,0.00,-3.75,0.00
1926,0.00,-3.75,0.00
2027,67.50,-2.50,0.00
2128,0.00,-3.75,0.00
2229,456.25,-2.50,0.00
2330,786.25,-3.75,0.00
2431,758.75,-2.50,0.00
2532,803.75,-5.00,0.00
2633,605.00,-3.75,0.00
2734,130.00,-2.50,0.00
2835,0.00,-1.25,0.00
2936,0.00,-3.75,0.00
3037,0.00,-2.50,0.00
3138,0.00,-2.50,0.00
3239,0.00,-2.50,0.00
3340,0.00,-1.25,0.00
3441,0.00,-2.50,0.00
3542,0.00,-3.75,0.00
3643,0.00,-3.75,0.00
3744,0.00,-2.50,0.00
3845,41.25,-2.50,0.00
3946,531.25,-2.50,0.00
4047,802.50,-2.50,0.00
4148,762.50,-2.50,0.00
4249,810.00,-1.25,0.00
4350,532.50,-3.75,0.00
4451,43.75,-2.50,0.00
4552,180.00,-3.75,0.00
4653,0.00,-2.50,0.00
4754,0.00,-3.75,0.00
4855,0.00,-3.75,0.00
4956,0.00,-2.50,0.00
5057,0.00,-1.25,0.00
5158,0.00,-2.50,0.00
5259,0.00,-2.50,0.00
5360,0.00,-3.75,0.00
5461,0.00,-5.00,0.00
5562,127.50,-5.00,0.00
5663,603.75,-1.25,0.00
5764,497.50,-1.25,0.00
5865,797.50,-3.75,0.00
5966,761.25,-3.75,0.00
6067,420.00,-2.50,0.00
6168,565.00,-3.75,0.00
6269,77.50,-3.75,0.00
6370,0.00,-2.50,0.00
6471,0.00,-3.75,0.00
6572,0.00,-3.75,0.00
6673,0.00,-1.25,0.00
6774,0.00,-3.75,0.00
6875,0.00,-2.50,0.00
6976,0.00,-3.75,0.00
7077,0.00,-1.25,0.00
7178,0.00,-3.75,0.00
7279,246.25,-3.75,0.00
7380,111.25,-2.50,0.00
7481,580.00,-3.75,0.00
7582,815.00,-2.50,0.00
7683,715.00,-1.25,0.00
7784,776.25,-3.75,0.00
7885,465.00,-2.50,0.00
7986,0.00,-3.75,0.00
8087,0.00,-3.75,0.00
8188,0.00,-3.75,0.00
8289,0.00,-3.75,0.00
8390,0.00,-3.75,0.00
8491,0.00,-3.75,0.00
8592,0.00,-2.50,0.00
8693,0.00,-2.50,0.00
8794,0.00,-3.75,0.00
8895,0.00,-2.50,0.00
8996,0.00,-5.00,0.00
9097,197.50,-3.75,0.00
9198,627.50,-3.75,0.00
9299,818.75,-2.50,0.00
9400,668.75,-3.75,0.00
9501,736.25,-2.50,0.00
9602,355.00,-3.75,0.00
9703,0.00,-2.50,0.00
9804,0.00,-3.75,0.00
9905,0.00,-3.75,0.00
10006,0.00,-3.75,0.00
10107,1126.25,12450.00,14020.00
10208,1278.75,9160.00,11710.00
10309,1267.50,6527.50,8590.00
10410,1371.25,5938.75,8450.00
10511,1428.75,4861.25,6890.00
10612,1386.25,4991.25,6920.00
10713,1323.75,4863.75,9550.00
10814,2985.00,-1026.25,3670.00
10915,3373.75,-862.50,2910.00
11016,3580.00,-656.25,2360.00
11117,3612.50,-398.75,1370.00
11218,3542.50,-265.00,1000.00
11319,3118.75,-206.25,720.00
11420,2441.25,-81.25,190.00
11521,2558.75,-23.75,50.00
11622,2167.50,-7.50,40.00
11723,2188.75,-3.75,10.00
11824,2245.00,-2.50,0.00
11925,2218.75,0.00,0.00
12026,2296.25,-1.25,0.00
12127,2371.25,1.25,0.00
12228,2393.75,-1.25,0.00
12329,135.00,-2.50,0.00
12430,1262.50,12508.75,15900.00
12531,1888.75,9385.00,17560.00
12632,2331.25,7253.75,16910.00
12733,2197.50,6177.50,16130.00
12834,3371.25,-875.00,2590.00
12935,3358.75,-642.50,2160.00
13036,2866.25,-437.50,1250.00
13137,3080.00,-342.50,810.00
13238,2512.50,-195.00,460.00
13339,4262.50,5185.00,23170.00
13440,4365.00,4060.00,17730.00
13541,3751.25,2556.25,9520.00
13642,2868.75,868.75,2530.00
13743,2738.75,777.50,2200.00
13844,2688.75,-140.00,370.00
13945,2606.25,-90.00,240.00
14046,2526.25,-35.00,100.00
14147,1197.50,307.50,350.00
14248,3117.50,2456.25,7650.00
14349,3965.00,4982.50,19700.00
14450,5912.50,8132.50,48490.00
14551,5871.25,6411.25,37790.00
14652,5981.25,5086.25,30430.00
14753,5933.75,4075.00,24030.00
14854,4830.00,897.50,3790.00
14955,3670.00,217.50,520.00
15056,2662.50,7.50,30.00
15157,2260.00,-458.75,1140.00
15258,778.75,-2920.00,2660.00
15359,972.50,-2048.75,1960.00
15460,1016.25,-1045.00,1060.00
15561,971.25,-817.50,860.00
15662,972.50,-482.50,520.00
15763,2900.00,-5.00,10.00
15864,1941.25,-3.75,10.00
15965,1667.50,-2.50,0.00
16066,2273.75,-2.50,10.00
16167,2730.00,-3.75,10.00
16268,2798.75,-3.75,10.00
16369,2805.00,-2.50,0.00
16470,2581.25,-3.75,10.00
16571,2028.75,-2.50,0.00
16672,1488.75,-3.75,0.00
16773,1611.25,-2.50,0.00
16874,1448.75,-5.00,10.00
16975,1430.00,-3.75,0.00
17076,1443.75,-2.50,0.00
17177,1443.75,-2.50,0.00
17278,1458.75,-1.25,0.00
17379,1455.00,-2.50,0.00
17480,1510.00,-2.50,0.00
17581,1470.00,-3.75,10.00
17682,1873.75,-3.75,10.00
17783,1767.50,-10460.00,19980.00
17884,1893.75,-13505.00,25570.00
17985,1221.25,-9793.75,11280.00
18086,1223.75,-7742.50,5250.00
18187,771.25,-6495.00,4880.00
18288,186.25,-5510.00,1020.00
18389,362.50,-5260.00,1040.00
18490,0.00,-4502.50,810.00
18591,0.00,-4676.25,830.00
18692,1051.25,-3.75,0.00
18793,1075.00,-2.50,0.00
18894,983.75,-3.75,0.00
18995,751.25,-3.75,0.00
19096,656.25,-2.50,0.00
19197,1278.75,-6426.25,9500.00
19298,1318.75,-5146.25,10340.00
19399,1892.50,-4617.50,8860.00
19500,1316.25,-2.50,0.00
19601,1332.50,-3.75,0.00
19702,1083.75,-5.00,0.00
19803,2216.25,-7535.00,17600.00
19904,846.25,-3.75,0.00
20005,546.25,-1.25,0.00
20106,105.00,-2.50,0.00
20207,0.00,-3.75,0.00
20308,0.00,-2.50,0.00
20409,0.00,-2.50,0.00
20510,0.00,-2.50,0.00
20611,0.00,-3.75,0.00
20712,0.00,-3.75,0.00
20813,0.00,-2.50,0.00
20914,0.00,-2.50,0.00
21015,98.75,-2.50,0.00
21116,578.75,-3.75,0.00
21217,4431.25,-3.75,10.00
21318,2717.50,-2.50,10.00
21419,2810.00,-2.50,10.00
21520,2478.75,-5.00,10.00
21621,2727.50,-2.50,0.00
21722,2281.25,-1.25,0.00
21823,1663.75,-2.50,0.00
21924,1412.50,-2.50,0.00
22025,1415.00,-3.75,0.00
22126,0.00,-2.50,0.00
22227,1.25,-2.50,0.00
22328,1085.00,-2228.75,2420.00
22429,1092.50,-3848.75,4570.00
22530,1201.25,-4357.50,5490.00
22631,1265.00,-3866.25,4940.00
22732,1535.00,-3851.25,5910.00
22833,1380.00,-2860.00,6090.00
22934,1915.00,-3228.75,7730.00
23035,2313.75,-2606.25,6030.00
23136,2303.75,-3048.75,7030.00
23237,2302.50,-2653.75,5060.00
23338,2022.50,-2993.75,3870.00
23439,1550.00,-2652.50,3870.00
23540,1016.25,-2532.50,2570.00
23641,1077.50,-2443.75,2280.00
23742,870.00,-2492.50,2370.00
23843,1010.00,-2465.00,2380.00
23944,1005.00,-2662.50,2680.00
