Timestamp_ms,Voltage_mV,Current_mA,Power_mW
7,605.00,-1.25,0.00
108,447.50,-3.75,0.00
209,732.50,-3.75,0.00
310,818.75,-2.50,0.00
411,658.75,-3.75,0.00
512,757.50,-5.00,0.00
613,490.00,-2.50,0.00
714,97.50,-2.50,0.00
815,0.00,-5.00,0.00
916,0.00,-3.75,0.00
1017,0.00,-3.75,0.00
1118,0.00,-1.25,0.00
1219,0.00,-3.75,0.00
1320,0.00,-3.75,0.00
1421,0.00,-2.50,0.00
1522,0.00,-3.75,0.00
1623,0.00,-3.75,0.00
1724,0.00,-2.50,0.00
1825,0.00,-2.50,0.00
1926,0.00,-2.50,0.00
2027,87.50,-2.50,0.00
2128,0.00,-1.25,0.00
2229,295.00,-2.50,0.00
2330,651.25,-2.50,0.00
2431,826.25,-2.50,0.00
2532,773.75,-2.50,0.00
2633,807.50,-3.75,0.00
2734,626.25,-2.50,0.00
2835,198.75,-3.75,0.00
2936,432.50,-3.75,0.00
3037,0.00,-3.75,0.00
3138,4333.75,8901.25,34940.00
3239,2558.75,2531.25,6480.00
3340,2521.25,2222.50,5490.00
3441,2558.75,2400.00,5940.00
3542,1646.25,377.50,1000.00
3643,5068.75,-17.50,90.00
3744,2052.50,-3.75,10.00
3845,2077.50,-1.25,0.00
3946,457.50,-278.75,130.00
4047,923.75,-697.50,640.00
4148,972.50,-822.50,870.00
4249,1106.25,-1915.00,3080.00
4350,1338.75,-1865.00,2570.00
4451,1813.75,-1885.00,3420.00
4552,1583.75,-1976.25,4220.00
4653,2046.25,-5757.50,12990.00
4754,2275.00,-6847.50,15670.00
4855,2220.00,-5372.50,11930.00
4956,2173.75,-4818.75,8420.00
5057,1966.25,-4146.25,5220.00
5158,1530.00,-3757.50,5940.00
5259,981.25,-3685.00,3610.00
5360,1267.50,-3417.50,2510.00
5461,807.50,-3361.25,2600.00
5562,736.25,-3452.50,2420.00
5663,816.25,-3146.25,2570.00
5764,766.25,-3178.75,2600.00
5865,821.25,-3118.75,2880.00
5966,876.25,-3198.75,2760.00
6067,911.25,-2902.50,2650.00
6168,892.50,-3041.25,3000.00
6269,615.00,-4276.25,2440.00
6370,0.00,-3606.25,170.00
6471,105.00,-3226.25,330.00
6572,0.00,-3238.75,2040.00
6673,371.25,-3228.75,3390.00
6774,882.50,-2965.00,2710.00
6875,1187.50,-3111.25,3700.00
6976,1105.00,-2880.00,3470.00
7077,1256.25,-2883.75,2620.00
7178,1133.75,-2946.25,3390.00
7279,722.50,-2943.75,2120.00
7380,917.50,-2835.00,540.00
7481,526.25,-2920.00,490.00
7582,0.00,-3001.25,80.00
7683,0.00,-3045.00,460.00
7784,0.00,-2775.00,400.00
7885,0.00,-3045.00,410.00
7986,0.00,-3015.00,500.00
8087,0.00,-2970.00,350.00
8188,728.75,-2165.00,1750.00
8289,673.75,-1448.75,1080.00
8390,715.00,-1113.75,860.00
8491,793.75,-1266.25,1010.00
8592,781.25,-1356.25,1290.00
8693,822.50,-1248.75,1800.00
8794,1158.75,-1276.25,1410.00
8895,1643.75,-998.75,1640.00
8996,1461.25,-1132.50,2160.00
9097,1823.75,-1015.00,1920.00
9198,1932.50,-953.75,1560.00
9299,1851.25,-955.00,1770.00
9400,1938.75,-822.50,1150.00
9501,1605.00,-770.00,670.00
9602,1175.00,-718.75,790.00
9703,696.25,-650.00,450.00
9804,915.00,-791.25,470.00
9905,608.75,-756.25,520.00
10006,685.00,-742.50,500.00
10107,742.50,-742.50,550.00
10208,712.50,-737.50,590.00
10309,768.75,-746.25,650.00
10410,845.00,-890.00,780.00
10511,953.75,-1045.00,1000.00
10612,997.50,-3218.75,3380.00
10713,998.75,-4192.50,4980.00
10814,988.75,-4507.50,4300.00
10915,1343.75,-4423.75,5940.00
11016,1043.75,-4435.00,7650.00
11117,1543.75,-4377.50,8720.00
