timestamp_us,steer_us,throttle_us,speed_mps
219007583,1500,1500,0.0000
220007637,1500,1500,0.0000
221007668,1500,1500,0.0000
221136002,1500,1001,0.0014
221158489,1500,1001,6.0540
221175390,1500,1001,8.0549
221189315,1500,1001,9.7764
221201941,1500,1001,10.7822
221213222,1500,1001,12.0677
221223962,1500,1001,12.6756
221233784,1500,1001,13.8603
221243386,1500,1001,14.1778
221252314,1500,1001,15.2482
221261149,1500,1001,15.4087
221269506,1500,1001,16.2900
221277795,1500,1001,16.4237
221285619,1500,1001,17.3998
221293422,1500,1001,17.4466
221300905,1500,1001,18.1927
221308389,1500,1001,18.1902
221315560,1500,1001,18.9842
221322782,1500,1001,18.8501
221329729,1500,1001,19.5963
221336715,1500,1001,19.4869
221343423,1500,1001,20.2945
221350257,1500,1001,19.9204
221356784,1500,1001,20.8573
221363397,1500,1001,20.5861
221369797,1500,1001,21.2712
221376287,1500,1001,20.9762
221382534,1500,1001,21.7922
221388895,1500,1001,21.4016
221395031,1500,1001,22.1864
221401327,1500,1001,21.6226
221407267,1500,1001,22.9185
221413416,1500,1001,22.1395
221419346,1500,1001,22.9571
221425376,1500,1001,22.5764
221431203,1527,1001,23.3629
221437133,1527,1001,22.9571
221442861,1527,1001,23.7667
221448753,1527,1001,23.1052
221454398,1527,1001,24.1162
221460173,1527,1001,23.5733
221465751,1527,1001,24.4058
221471456,1527,1001,23.8625
221476964,1527,1001,24.7160
221482615,1527,1001,24.0905
221488088,1527,1001,24.8741
221493680,1527,1001,24.3447
221499107,1527,1001,25.0849
221504623,1527,1001,24.6801
221509979,1527,1001,25.4174
221515444,1527,1001,24.9105
221520747,1527,1001,25.6714
221526183,1527,1001,25.0434
221531447,1500,1001,25.8616
221536853,1500,1001,25.1823
221542058,1500,1001,26.1548
221547401,1500,1001,25.4793
221552573,1500,1001,26.3217
221557879,1500,1001,25.6569
221563020,1500,1001,26.4804
221568295,1500,1001,25.8077
221573391,1500,1001,26.7142
221578611,1500,1001,26.0796
221583681,1500,1001,26.8512
221588900,1500,1001,26.0846
221593913,1500,1001,27.1565
221599099,1500,1001,26.2506
221604075,1500,1001,27.3585
221609225,1500,1001,26.4341
221614209,1500,1001,27.3145
221619316,1500,1001,26.6567
221624261,1500,1001,27.5300
221629350,1500,1001,26.7510
221634256,1500,1001,27.7488
221639335,1500,1001,26.8036
221644233,1500,1001,27.7941
221649267,1500,1001,27.0432
221654154,1500,1001,27.8567
221659194,1500,1001,27.0110
221664027,1500,1001,28.1679
221669009,1500,1001,27.3255
221673840,1500,1001,28.1796
221678799,1500,1001,27.4522
221683641,1500,1001,28.1156
221688628,1500,1001,27.2981
221693395,1500,1001,28.5579
221698349,1500,1001,27.4800
221703116,1500,1001,28.5579
221708003,1500,1001,27.8567
221712735,1500,1001,28.7692
221717668,1500,1001,27.5969
221722410,1500,1001,28.7085
221727301,1500,1001,27.8339
221732029,1500,1001,28.7935
221736894,1500,1001,27.9827
221741603,1500,1001,28.9097
221746463,1500,1001,28.0115
221751160,1500,1001,28.9835
221755996,1500,1001,28.1505
221760670,1500,1001,29.1262
221765513,1500,1001,28.1098
221770171,1500,1001,29.2262
221775002,1500,1001,28.1796
221779635,1500,1001,29.3839
221784432,1500,1001,28.3793
221789078,1500,1001,29.3017
221793836,1500,1001,28.6120
221798484,1500,1001,29.2891
221803282,1500,1001,28.3734
221807898,1500,1001,29.4921
221812686,1500,1001,28.4327
221817276,1500,1001,29.6592
221822037,1500,1001,28.5939
221826622,1500,1001,29.6915
221831380,1500,1001,28.6120
221835985,1500,1001,29.5626
221840716,1500,1001,28.7752
221845294,1500,1001,29.7369
221850050,1500,1001,28.6240
221854622,1500,1001,29.7760
221859355,1500,1500,28.7631
221863910,1500,1500,29.8871
221868617,1500,1500,28.9220
221873168,1500,1500,29.9134
221877914,1500,1500,28.6843
221882564,1500,1500,29.2765
221887475,1500,1500,27.7206
221892261,1500,1500,28.4446
221897238,1500,1500,27.3530
221902100,1500,1500,27.9999
221907032,1500,1500,27.6025
221911955,1500,1500,27.6530
221917023,1500,1500,26.8618
221922034,1500,1500,27.1674
221927231,1500,1500,26.1951
221932269,1500,1500,27.0218
221937493,1500,1500,26.0597
221942668,1500,1500,26.3064
221948114,1500,1500,24.9974
221953411,1500,1500,25.7005
221958915,1500,1500,24.7340
221964342,1500,1500,25.0849
221970013,1500,1500,24.0056
221975460,1500,1500,24.9928
221981211,1500,1500,23.6717
221986896,1500,1500,23.9465
221992849,1500,1500,22.8684
221998570,1500,1500,23.7958
222004562,1500,1500,22.7196
222007704,1500,1500,22.7196
222010387,1500,1500,23.3709
222016657,1500,1500,21.7122
222022633,1500,1500,22.7804
222028964,1500,1500,21.5030
222035068,1500,1500,22.3027
222041425,1500,1500,21.4151
222047737,1500,1500,21.5678
222054361,1500,1500,20.5519
222060935,1500,1500,20.7082
222067671,1500,1500,20.2102
222074331,1500,1500,20.4408
222081309,1500,1500,19.5093
222088165,1500,1500,19.8564
222095284,1500,1500,19.1229
222102345,1500,1500,19.2799
222109720,1500,1500,18.4591
222116975,1500,1500,18.7644
222124468,1500,1500,18.1684
222131938,1500,1500,18.2243
222139736,1500,1500,17.4578
222147567,1500,1500,17.3842
222155636,1500,1500,16.8714
222163517,1500,1500,17.2739
222171766,1500,1500,16.5033
222179977,1500,1500,16.5797
222188647,1500,1500,15.7019
222197383,1500,1500,15.5833
222206310,1500,1500,15.2499
222215120,1500,1500,15.4524
222224328,1500,1500,14.7845
222233496,1500,1500,14.8490
222243323,1500,1500,13.8532
222252928,1500,1500,14.1734
222263025,1500,1500,13.4828
222273025,1500,1500,13.6136
222283473,1500,1500,13.0298
222294009,1500,1500,12.9210
222305265,1500,1500,12.0945
222316505,1500,1500,12.1117
222328311,1500,1500,11.5311
222339858,1500,1500,11.7897
222352190,1500,1500,11.0392
222364617,1500,1500,10.9548
222377875,1500,1500,10.2682
222391022,1500,1500,10.3549
222404950,1500,1500,9.7742
222418783,1500,1500,9.8414
222433697,1500,1500,9.1280
222448727,1500,1500,9.0576
222464965,1500,1500,8.3838
222481258,1500,1500,8.3555
222498602,1500,1500,7.8492
222516362,1500,1500,7.6653
222535674,1500,1500,7.0493
222555870,1500,1500,6.7407
222577391,1500,1500,6.3257
222600670,1500,1500,5.8480
222626288,1500,1500,5.3141
222653363,1500,1500,5.0281
222684503,1500,1500,4.3717
222719631,1500,1500,3.8754
222762397,1500,1500,3.1833
222821490,1500,1500,2.3038
223007835,1500,1500,2.3038
223070752,1500,1500,0.0000
223438206,1547,1002,0.2207
223471177,1547,1002,4.1290
223490307,1547,1002,7.1163
223504984,1547,1002,9.2754
223518330,1547,1002,10.2005
223529944,1547,1002,11.7217
223540876,1547,1002,12.4530
223550841,1547,1002,13.6614
223560538,1547,1002,14.0389
223569529,1547,1002,15.1413
223578403,1547,1002,15.3410
223586743,1547,1002,16.3232
223594962,1547,1002,16.5635
223602719,1547,1002,17.5500
223610517,1547,1002,17.4578
223617917,1547,1002,18.3967
223625298,1547,1002,18.4441
223632410,1547,1002,19.1417
223639509,1547,1002,19.1767
223646252,1547,1002,20.1892
223653148,1547,1002,19.7413
223659757,1547,1002,20.5985
223666377,1547,1002,20.5643
223672759,1547,1002,21.3312
223679226,1547,1002,21.0508
223685441,1547,1002,21.9044
223691734,1547,1002,21.6329
223697819,1547,1002,22.3723
223704015,1547,1002,21.9715
223709897,1547,1002,23.1445
223715971,1547,1002,22.4129
223721804,1547,1002,23.3389
223727759,1547,1002,22.8607
223733459,1547,1002,23.8835
223739336,1547,1002,23.1641
223744991,1547,1002,24.0735
223750750,1547,1002,23.6388
223756281,1547,1002,24.6132
223761972,1547,1002,23.9212
223767465,1547,1002,24.7835
223773070,1500,1002,24.2883
223778472,1500,1002,25.2010
223783992,1500,1002,24.6623
223789354,1500,1002,25.3890
223794867,1500,1002,24.6936
223797111,1500,1002,60.6665
223800156,1500,1002,44.7079
223805592,1500,1002,25.0434
223810822,1500,1002,26.0298
223816211,1500,1002,25.2618
223816672,1500,1002,295.3052
223821410,1500,1002,28.7327
223826753,1500,1002,25.4793
223831884,1500,1002,26.5320
223837201,1500,1002,25.6039
223842294,1500,1002,26.7300
223847531,1500,1500,25.9950
223852587,1500,1500,26.9256
223857785,1500,1500,26.1900
223862806,1500,1500,27.1133
223868048,1500,1500,25.9702
223873187,1500,1500,26.4907
223878597,1500,1500,25.1637
223883921,1500,1500,25.5702
223889423,1500,1500,24.7429
223894778,1500,1500,25.4222
223900292,1500,1500,24.6891
223905740,1500,1500,24.9882
223911423,1500,1500,23.9549
223917069,1500,1500,24.1119
223922827,1500,1500,23.6429
223928495,1500,1500,24.0183
223934409,1500,1500,23.0192
223940237,1500,1500,23.3589
223946365,1500,1500,22.2154
223952309,1500,1500,22.9030
223958495,1500,1500,22.0071
223964595,1500,1500,22.3173
223970937,1500,1500,21.4657
223977192,1500,1500,21.7643
223983765,1500,1500,20.7113
223990248,1500,1500,20.9989
223997016,1500,1500,20.1146
224003629,1500,1500,20.5861
224007983,1500,1500,20.5861
224010514,1500,1500,19.7728
224017175,1500,1500,20.4377
224024254,1500,1500,19.2309
224031233,1500,1500,19.5065
224038591,1500,1500,18.5017
224045805,1500,1500,18.8710
224053223,1500,1500,18.3521
224060575,1500,1500,18.5168
224068335,1500,1500,17.5433
224075997,1500,1500,17.7676
224083991,1500,1500,17.0297
224091906,1500,1500,17.1997
224100104,1500,1500,16.6060
224108264,1500,1500,16.6833
224116918,1500,1500,15.7310
224125547,1500,1500,15.7765
224134447,1500,1500,15.2961
224143201,1500,1500,15.5513
224152457,1500,1500,14.7078
224161465,1500,1500,15.1128
224171077,1500,1500,14.1631
224180828,1500,1500,13.9612
224190923,1500,1500,13.4855
224200941,1500,1500,13.5891
224211368,1500,1500,13.0561
224221842,1500,1500,12.9975
224233003,1500,1500,12.1974
224244216,1500,1500,12.1409
224255994,1500,1500,11.5585
224267616,1500,1500,11.7136
224280035,1500,1500,10.9619
224292515,1500,1500,10.9083
224305929,1500,1500,10.1488
224319202,1500,1500,10.2566
224333422,1500,1500,9.5735
224347623,1500,1500,9.5863
224363134,1500,1263,8.7767
224378751,1500,1263,8.7171
224395285,1458,1263,8.2337
224410548,1458,1263,8.9193
224424904,1458,1263,9.4828
224439120,1458,1263,9.5762
224452791,1458,1263,9.9580
224465547,1458,1263,10.6723
224478096,1458,1263,10.8483
224490258,1458,1263,11.1935
224502512,1458,1263,11.1095
224513920,1458,1263,11.9334
224525344,1458,1263,11.9166
224536551,1458,1263,12.1474
224547713,1458,1288,12.1964
224558459,1458,1288,12.6685
224569393,1458,1288,12.4507
224580023,1458,1288,12.8067
224590822,1458,1288,12.6063
224601373,1458,1288,12.9026
224612189,1458,1288,12.5865
224622716,1458,1288,12.9320
224633480,1458,1288,12.6473
224643815,1458,1288,13.1723
224654350,1458,1288,12.9222
224664695,1458,1288,13.1596
224675327,1458,1288,12.8043
224685621,1458,1288,13.2248
224696166,1458,1288,12.9100
224706344,1483,1371,13.3755
224716763,1483,1371,13.0661
224726971,1500,1371,13.3362
224737518,1500,1371,12.9075
224747939,1500,1371,13.0636
224758939,1500,1371,12.3760
224769720,1500,1371,12.6274
224780995,1500,1371,12.0741
224792007,1500,1371,12.3625
224803419,1500,1371,11.9292
224814802,1500,1371,11.9596
224826572,1500,1371,11.5663
224838119,1500,1500,11.7897
224850174,1500,1500,11.2929
224862314,1500,1500,11.2138
224875201,1500,1500,10.5638
224888119,1500,1500,10.5384
224901892,1500,1500,9.8842
224915703,1500,1500,9.8570
224930441,1500,1500,9.2371
224945558,1500,1500,9.0055
224961667,1500,1500,8.4509
224977909,1500,1500,8.3817
224995288,1500,1500,7.8333
225008125,1500,1500,7.8333
225013086,1500,1500,7.6489
225032589,1500,1500,6.9802
225052588,1500,1500,6.8071
225074534,1500,1500,6.2032
225097460,1500,1500,5.9380
225122386,1500,1500,5.4616
225149470,1500,1500,5.0264
225180286,1500,1413,4.4177
225214782,1500,1413,3.9464
225253514,1500,1354,3.5148
225287372,1500,1354,4.0208
225319998,1500,1354,4.1726
225349345,1500,1271,4.6388
225373857,1500,1271,5.5538
225394238,1500,1271,6.6795
225413025,1500,1271,7.2463
225429859,1500,1271,8.0869
225445935,1500,1271,8.4683
225460704,1492,1179,9.2177
225475290,1492,1179,9.3333
225488547,1492,1179,10.2690
225501098,1492,1179,10.8466
225512413,1492,1179,12.0314
225523325,1492,1179,12.4758
225533488,1492,1179,13.3952
225543489,1492,1179,13.6122
225552932,1492,1179,14.4166
225562271,1492,1179,14.5771
225571088,1492,1179,15.4401
225579889,1492,1179,15.4682
225588270,1492,1179,16.2434
225596674,1492,1179,16.1989
225604712,1492,1179,16.9365
225612806,1492,1179,16.8193
225620544,1492,1179,17.5931
225628321,1492,1179,17.5049
