timestamp_us,steer_us,throttle_us,speed_mps
110013001,1500,1500,0.0000
111013037,1500,1500,0.0000
112013068,1500,1500,0.0000
113013098,1476,1646,0.0000
113068260,1472,1654,0.0210
113199265,1466,1689,1.0392
113279603,1466,1689,1.6945
113343093,1466,1695,2.1442
113395674,1466,1695,2.5891
113443285,1471,1695,2.8593
113486145,1471,1695,3.1763
113526289,1471,1695,3.3912
113563586,1471,1695,3.6500
113599491,1471,1695,3.7916
113633096,1471,1695,4.0511
113665856,1471,1695,4.1555
113697041,1471,1695,4.3654
113727345,1471,1695,4.4923
113756500,1471,1695,4.6694
113785038,1471,1695,4.7703
113812613,1465,1670,4.9369
113840060,1465,1670,4.9599
113866777,1465,1670,5.0955
113893342,1465,1651,5.1246
113920040,1465,1646,5.0991
113946469,1465,1646,5.1510
113972983,1465,1646,5.1345
113999460,1465,1646,5.1417
114013150,1465,1646,5.1417
114025677,1511,1570,5.1926
114053096,1511,1570,4.9650
114082925,1511,1570,4.5639
114114013,1575,1535,4.3790
114141563,1575,1535,4.9414
114170738,1575,1535,4.6662
114200560,1575,1535,4.5649
114231510,1630,1494,4.3986
114263579,1630,1494,4.2451
114295858,1630,1494,4.2175
114329237,1659,1494,4.0785
114365872,1659,1494,3.7160
114401571,1659,1494,3.8134
114440721,1659,1494,3.4773
114480201,1709,1526,3.4482
114522116,1709,1526,3.2479
114566906,1709,1526,3.0394
114617316,1676,1537,2.7006
114675497,1676,1537,2.3399
114734254,1660,1554,2.3169
114805120,1652,1592,1.9210
114884362,1652,1592,1.7180
114970296,1652,1627,1.5842
115013285,1652,1627,1.5842
115057594,1647,1646,1.5594
115137967,1643,1651,1.6938
115209670,1643,1651,1.8986
115273800,1642,1654,2.1228
115334737,1642,1654,2.2340
115390676,1637,1659,2.4336
115444709,1637,1659,2.5195
115495319,1636,1657,2.6899
115543113,1636,1657,2.8484
115588328,1629,1630,3.0109
115634720,1629,1630,2.9345
115681007,1572,1581,2.9411
115692287,1572,1581,12.0688
115729166,1572,1581,3.6914
115780442,1532,1575,2.6550
115835517,1532,1575,2.4718
115894135,1458,1575,2.3224
115958952,1458,1594,2.1003
116013429,1408,1611,2.1003
116020617,1408,1611,2.2077
116029742,1408,1611,14.9190
116105435,1408,1611,1.7985
116182247,1408,1611,1.7723
116261678,1408,1611,1.7139
116342211,1435,1649,1.6904
116417775,1448,1649,1.8016
116485234,1476,1649,2.0181
116549222,1476,1649,2.1275
116607599,1503,1643,2.3320
116663863,1519,1649,2.4196
116716712,1519,1649,2.5759
116768461,1522,1659,2.6307
116817347,1522,1659,2.7848
116864984,1522,1659,2.8578
116910308,1524,1659,3.0036
116953432,1524,1659,3.1568
116995503,1524,1659,3.2359
117013586,1548,1619,3.2359
117037703,1548,1619,3.2260
117080436,1548,1611,3.1857
117124684,1587,1611,3.0767
117168296,1587,1611,3.1215
117213022,1587,1611,3.0438
117259022,1587,1611,2.9595
117306973,1587,1611,2.8391
117355978,1587,1611,2.7780
117406355,1587,1611,2.7023
117456465,1587,1611,2.7167
117508112,1587,1611,2.6359
117560655,1596,1605,2.5909
117621733,1613,1567,2.2289
117685886,1613,1567,2.1220
117751049,1599,1545,2.0892
117824720,1599,1570,1.8479
117906705,1613,1559,1.6605
118009798,1618,1559,1.3205
118013749,1618,1559,1.3205
118159181,1590,1597,0.9113
118369543,1613,1605,0.6471
118572476,1621,1602,0.0000
118705553,1621,1613,0.4052
118910117,1591,1662,0.6655
118921250,1591,1662,12.2281
119013876,1569,1678,12.2281
119029506,1569,1678,1.2575
