timestamp_us,steer_us,throttle_us,speed_mps
571019058,1539,1500,0.0000
572019092,1539,1500,0.0000
573019121,1539,1500,0.0000
574019155,1539,1500,0.0000
574637275,1539,1500,0.0216
574851550,1539,1500,0.0000
575019188,1539,1500,0.0000
576019245,1539,1624,0.0000
576248757,1539,1624,0.0845
576440956,1539,1624,0.7083
576580732,1539,1625,0.9740
576703760,1539,1625,1.1065
576810713,1539,1625,1.2729
576909131,1539,1625,1.3832
576998299,1539,1625,1.5267
577019298,1539,1625,1.5267
577082780,1539,1625,1.6114
577162660,1539,1625,1.7043
577241686,1539,1625,1.7227
577317071,1539,1625,1.8059
577390728,1539,1625,1.8482
577461073,1539,1625,1.9353
577530280,1539,1625,1.9671
577597697,1539,1625,2.0193
577664704,1539,1625,2.0317
577729958,1539,1624,2.0862
577794462,1539,1624,2.1105
577856886,1539,1624,2.1808
577919017,1539,1624,2.1911
577980504,1539,1624,2.2141
578019439,1539,1624,2.2141
578041947,1539,1624,2.2156
578102085,1539,1624,2.2637
578162233,1539,1624,2.2633
578220758,1539,1624,2.3261
578279780,1539,1624,2.3065
578338344,1539,1624,2.3246
578397170,1539,1624,2.3142
578454734,1539,1624,2.3649
578512528,1539,1624,2.3555
578569100,1539,1624,2.4064
578626297,1539,1624,2.3801
578683097,1539,1624,2.3968
578740008,1539,1624,2.3921
578795725,1539,1624,2.4433
578851806,1539,1624,2.4275
578906831,1539,1624,2.4741
578962786,1539,1624,2.4329
579018442,1539,1624,2.4460
579019594,1539,1624,2.4460
579074437,1539,1624,2.4312
579129271,1539,1624,2.4827
579184281,1539,1624,2.4747
579238474,1539,1624,2.5121
579293711,1539,1624,2.4646
579348773,1539,1624,2.4724
579404010,1539,1624,2.4646
579458390,1539,1624,2.5034
579513273,1539,1624,2.4805
579567435,1539,1624,2.5135
579622480,1539,1624,2.4732
579677842,1539,1624,2.4590
579733095,1539,1624,2.4639
579787664,1539,1624,2.4947
579842797,1539,1624,2.4692
579897165,1539,1624,2.5040
579952534,1539,1624,2.4587
580008085,1539,1624,2.4506
580019713,1539,1624,2.4506
580063601,1539,1624,2.4522
580118448,1539,1624,2.4821
580173937,1539,1624,2.4534
580228774,1539,1624,2.4826
580284648,1539,1624,2.4365
580340651,1539,1624,2.4309
580396716,1539,1624,2.4282
580452093,1539,1624,2.4583
580508226,1539,1624,2.4252
580564119,1539,1624,2.4356
580620352,1539,1624,2.4209
580676807,1539,1624,2.4114
580733218,1539,1624,2.4133
580788855,1539,1624,2.4469
580845074,1539,1624,2.4215
580901409,1539,1624,2.4165
580957873,1539,1624,2.4110
581014461,1539,1624,2.4057
581019845,1539,1624,2.4057
581071001,1539,1624,2.4078
581126719,1539,1624,2.4433
581183163,1539,1624,2.4119
581239636,1539,1624,2.4106
581296825,1539,1624,2.3805
581353569,1539,1624,2.3991
581410550,1539,1624,2.3891
581466777,1539,1624,2.4212
581523380,1539,1624,2.4051
581580288,1539,1624,2.3922
581638073,1539,1624,2.3559
581695090,1539,1624,2.3876
581752773,1539,1624,2.3601
581809641,1539,1624,2.3939
581867014,1539,1624,2.3728
581924707,1539,1624,2.3597
581983446,1539,1624,2.3176
582019963,1539,1624,2.3176
582041310,1539,1624,2.3527
