time_us,steer_ms,throttle_ms,speed_mps,setpoint_mps,error,kalman0,kalman1,kalman2,kalman3
3901550,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
4001570,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
4101575,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
4201589,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
4301603,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
4401619,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
4501633,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
4601655,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
4701675,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
4801689,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
4901711,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
5001719,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
5101740,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
5201759,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
5301776,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
5401795,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
5501810,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
5601834,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
5701847,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
5801866,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
5901883,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
6001891,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
6101916,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
6201932,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
6301948,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
6401960,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
6501977,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
6602003,1500, 1500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
